score_id,prediction_id,event_id,theory_key,theory_name,horizon,predicted_direction,realized_direction,is_flat,is_win,is_foreign_event,scored_at
01afe23f-fcb2-4d,a5f218d4-0feb-48,b187655c6069359d,upper_echelons,Upper Echelons Theory,3,neutral,negative,False,False,False,2026-06-21T17:24:47.211314Z
9c94aeee-cda9-42,35e4e5ee-17f6-46,b187655c6069359d,agency_ceo,Agency Theory (CEO Turnover),3,neutral,negative,False,False,False,2026-06-21T17:24:47.211335Z
bb4093f7-bfb7-4d,0e722efe-fc7c-41,b187655c6069359d,disruption_ceo,Disruption / Instability View (CEO),3,negative,negative,False,True,False,2026-06-21T17:24:47.211352Z
8bda8f62-6409-4b,a5f218d4-0feb-48,b187655c6069359d,upper_echelons,Upper Echelons Theory,10,neutral,negative,False,False,False,2026-06-21T17:24:48.257846Z
07ec6d93-42d6-49,35e4e5ee-17f6-46,b187655c6069359d,agency_ceo,Agency Theory (CEO Turnover),10,neutral,negative,False,False,False,2026-06-21T17:24:48.257868Z
6dfadf49-7243-44,0e722efe-fc7c-41,b187655c6069359d,disruption_ceo,Disruption / Instability View (CEO),10,negative,negative,False,True,False,2026-06-21T17:24:48.257882Z
2c89a66a-9318-40,e1895c45-7eb0-4d,e9c4fa0b31a990fa,upper_echelons,Upper Echelons Theory,3,neutral,negative,False,False,False,2026-06-21T17:24:49.052755Z
34ea8f6d-2850-4b,3ca03d90-86f1-4c,e9c4fa0b31a990fa,agency_ceo,Agency Theory (CEO Turnover),3,positive,negative,False,False,False,2026-06-21T17:24:49.052774Z
b536544a-f93d-4d,0b406ed7-51ce-4a,e9c4fa0b31a990fa,disruption_ceo,Disruption / Instability View (CEO),3,negative,negative,False,True,False,2026-06-21T17:24:49.052788Z
375158ff-ca04-45,e1895c45-7eb0-4d,e9c4fa0b31a990fa,upper_echelons,Upper Echelons Theory,10,neutral,negative,False,False,False,2026-06-21T17:24:50.052515Z
bad739aa-abe7-43,3ca03d90-86f1-4c,e9c4fa0b31a990fa,agency_ceo,Agency Theory (CEO Turnover),10,positive,negative,False,False,False,2026-06-21T17:24:50.052535Z
6f022fae-f3eb-42,0b406ed7-51ce-4a,e9c4fa0b31a990fa,disruption_ceo,Disruption / Instability View (CEO),10,negative,negative,False,True,False,2026-06-21T17:24:50.052548Z
6e3e3d0c-dc77-4f,ca81020a-9045-40,7ff12c3ca59782de,upper_echelons,Upper Echelons Theory,3,neutral,negative,False,False,False,2026-06-21T17:24:50.764849Z
51dd1db8-65d6-46,433260be-86b3-4a,7ff12c3ca59782de,agency_ceo,Agency Theory (CEO Turnover),3,neutral,negative,False,False,False,2026-06-21T17:24:50.764867Z
0309c7a2-4d4d-44,f3ddfbdf-3c13-4e,7ff12c3ca59782de,disruption_ceo,Disruption / Instability View (CEO),3,negative,negative,False,True,False,2026-06-21T17:24:50.764880Z
aeea1d3d-624d-46,ca81020a-9045-40,7ff12c3ca59782de,upper_echelons,Upper Echelons Theory,10,neutral,negative,False,False,False,2026-06-21T17:24:51.711060Z
b82e26c4-04ae-44,433260be-86b3-4a,7ff12c3ca59782de,agency_ceo,Agency Theory (CEO Turnover),10,neutral,negative,False,False,False,2026-06-21T17:24:51.711078Z
466f2739-4127-48,f3ddfbdf-3c13-4e,7ff12c3ca59782de,disruption_ceo,Disruption / Instability View (CEO),10,negative,negative,False,True,False,2026-06-21T17:24:51.711092Z
83175728-3762-4d,1c4ea946-76c1-4e,e21ad5896c760dcb,upper_echelons,Upper Echelons Theory,3,neutral,neutral,True,False,False,2026-06-21T17:24:52.518742Z
34ad78d6-031a-4a,ac67df9f-8a4c-42,e21ad5896c760dcb,agency_ceo,Agency Theory (CEO Turnover),3,neutral,neutral,True,False,False,2026-06-21T17:24:52.518761Z
c0df4f30-e57b-4e,211a1fee-44db-4f,e21ad5896c760dcb,disruption_ceo,Disruption / Instability View (CEO),3,neutral,neutral,True,False,False,2026-06-21T17:24:52.518774Z
40c351ac-98f3-49,1c4ea946-76c1-4e,e21ad5896c760dcb,upper_echelons,Upper Echelons Theory,10,neutral,neutral,True,False,False,2026-06-21T17:24:53.692948Z
2634f656-70ca-4b,ac67df9f-8a4c-42,e21ad5896c760dcb,agency_ceo,Agency Theory (CEO Turnover),10,neutral,neutral,True,False,False,2026-06-21T17:24:53.692967Z
cae68dbf-4a94-4b,211a1fee-44db-4f,e21ad5896c760dcb,disruption_ceo,Disruption / Instability View (CEO),10,neutral,neutral,True,False,False,2026-06-21T17:24:53.692978Z
ba2b16e1-39de-4f,e5674c19-e2f2-4b,d1df2345e71f3956,upper_echelons,Upper Echelons Theory,3,neutral,positive,False,False,False,2026-06-21T17:24:54.390660Z
db42b465-0321-49,3ce4e844-8b1a-4f,d1df2345e71f3956,agency_ceo,Agency Theory (CEO Turnover),3,neutral,positive,False,False,False,2026-06-21T17:24:54.390679Z
f2b165c2-43c4-45,e3f4aa06-5d08-4c,d1df2345e71f3956,disruption_ceo,Disruption / Instability View (CEO),3,negative,positive,False,False,False,2026-06-21T17:24:54.390692Z
db4e534f-9c5d-42,e5674c19-e2f2-4b,d1df2345e71f3956,upper_echelons,Upper Echelons Theory,10,neutral,positive,False,False,False,2026-06-21T17:24:55.409673Z
11ec94f8-f999-41,3ce4e844-8b1a-4f,d1df2345e71f3956,agency_ceo,Agency Theory (CEO Turnover),10,neutral,positive,False,False,False,2026-06-21T17:24:55.409698Z
5f35b6b7-458a-4f,e3f4aa06-5d08-4c,d1df2345e71f3956,disruption_ceo,Disruption / Instability View (CEO),10,negative,positive,False,False,False,2026-06-21T17:24:55.409716Z
7deec71b-33ed-4f,562e4fd1-11f2-4f,0508e906f712608f,upper_echelons,Upper Echelons Theory,3,neutral,positive,False,False,False,2026-06-21T17:24:56.936972Z
a5b899fc-534a-46,4d8cda36-dde0-4c,0508e906f712608f,agency_ceo,Agency Theory (CEO Turnover),3,positive,positive,False,True,False,2026-06-21T17:24:56.936991Z
0489c424-5625-44,52de2e38-c1c4-44,0508e906f712608f,disruption_ceo,Disruption / Instability View (CEO),3,negative,positive,False,False,False,2026-06-21T17:24:56.937006Z
ad010a9d-a606-44,562e4fd1-11f2-4f,0508e906f712608f,upper_echelons,Upper Echelons Theory,10,neutral,positive,False,False,False,2026-06-21T17:24:58.153534Z
33f43fdf-73e5-45,4d8cda36-dde0-4c,0508e906f712608f,agency_ceo,Agency Theory (CEO Turnover),10,positive,positive,False,True,False,2026-06-21T17:24:58.153554Z
06cb3392-50fc-48,52de2e38-c1c4-44,0508e906f712608f,disruption_ceo,Disruption / Instability View (CEO),10,negative,positive,False,False,False,2026-06-21T17:24:58.153569Z
107e4324-327c-4a,5fcae219-87c2-44,e45c87e134103427,upper_echelons,Upper Echelons Theory,3,neutral,positive,False,False,False,2026-06-21T17:24:58.897980Z
291d93e8-18c4-47,246b7e2c-29c7-4b,e45c87e134103427,agency_ceo,Agency Theory (CEO Turnover),3,neutral,positive,False,False,False,2026-06-21T17:24:58.898012Z
6c09530e-18a1-49,340e22b4-f4d7-44,e45c87e134103427,disruption_ceo,Disruption / Instability View (CEO),3,negative,positive,False,False,False,2026-06-21T17:24:58.898025Z
dedfe4db-c39f-42,5fcae219-87c2-44,e45c87e134103427,upper_echelons,Upper Echelons Theory,10,neutral,positive,False,False,False,2026-06-21T17:25:00.097796Z
0c018daa-b447-4f,246b7e2c-29c7-4b,e45c87e134103427,agency_ceo,Agency Theory (CEO Turnover),10,neutral,positive,False,False,False,2026-06-21T17:25:00.097819Z
a306044f-2182-45,340e22b4-f4d7-44,e45c87e134103427,disruption_ceo,Disruption / Instability View (CEO),10,negative,positive,False,False,False,2026-06-21T17:25:00.097835Z
65f11172-5538-40,3304c0fa-c34c-44,64ecf031f7470b44,upper_echelons,Upper Echelons Theory,3,neutral,negative,False,False,False,2026-06-21T17:25:00.353422Z
5bd44d3a-fda4-4c,46979189-5cb9-47,64ecf031f7470b44,agency_ceo,Agency Theory (CEO Turnover),3,positive,negative,False,False,False,2026-06-21T17:25:00.353438Z
a2538a58-5101-4b,45e63839-53c0-47,64ecf031f7470b44,disruption_ceo,Disruption / Instability View (CEO),3,negative,negative,False,True,False,2026-06-21T17:25:00.353450Z
0bdb64e5-c051-49,3304c0fa-c34c-44,64ecf031f7470b44,upper_echelons,Upper Echelons Theory,10,neutral,neutral,True,False,False,2026-06-21T17:25:01.284851Z
3e7d58b0-bb4c-44,46979189-5cb9-47,64ecf031f7470b44,agency_ceo,Agency Theory (CEO Turnover),10,positive,neutral,True,False,False,2026-06-21T17:25:01.284873Z
a29d3b10-982d-44,45e63839-53c0-47,64ecf031f7470b44,disruption_ceo,Disruption / Instability View (CEO),10,negative,neutral,True,False,False,2026-06-21T17:25:01.284887Z
47f30eb7-8520-47,76e8d100-a26a-46,dd430c105206dd25,upper_echelons,Upper Echelons Theory,3,neutral,negative,False,False,False,2026-06-21T17:25:02.468318Z
384056e4-0393-43,20be13f0-5bc1-49,dd430c105206dd25,agency_ceo,Agency Theory (CEO Turnover),3,positive,negative,False,False,False,2026-06-21T17:25:02.468346Z
